"","location","start","end","enrolled","cap","day"
"1","ACADMY AUD","1000","1150",111,126,1
"2","ACADMY AUD","1200","1350",72,70,1
"3","ACADMY AUD","1400","1550",95,120,1
"4","ACADMY AUD","1600","1720",78,125,1
"5","ARMORY 209","1000","1150",23,25,1
"6","ARMORY 302","0800","0950",14,37,1
"7","ARMORY 407","1430","1650",4,20,1
"8","CARNEG 101","1000","1150",6,30,1
"9","CARNEG 101","1200","1350",35,35,1
"10","CARNEG 101","1400","1550",18,30,1
"11","CARNEG 102","1000","1150",10,20,1
"12","CARNEG 102","1200","1250",54,60,1
"13","CARNEG 106","1000","1150",74,80,1
"14","CARNEG 106","1200","1350",17,19,1
"15","CARNEG 106","1400","1520",23,35,1
"16","CARNEG 113","0800","0950",45,80,1
"17","CARNEG 113","1000","1120",91,92,1
"18","CARNEG 113","1200","1350",59,60,1
"19","CARNEG 113","1400","1550",56,70,1
"20","CARNEG 113","1800","1950",73,90,1
"21","CARNEG 201","1000","1150",49,49,1
"22","CARNEG 201","1200","1350",45,46,1
"23","CARNEG 201","1400","1550",13,30,1
"24","CARNEG 201","1600","1750",31,48,1
"25","CARNEG 205","1400","1550",19,19,1
"26","CARNEG 206","1000","1150",10,35,1
"27","CARNEG 206","1400","1550",8,30,1
"28","CARNEG 206","1800","1950",6,10,1
"29","CARNEG 208","1000","1150",25,25,1
"30","CARNEG 208","1200","1350",15,30,1
"31","CARNEG 208","1400","1550",20,33,1
"32","CARNEG 210","0800","0850",81,105,1
"33","CARNEG 210","0900","0950",93,105,1
"34","CARNEG 210","1000","1150",22,30,1
"35","CARNEG 210","1400","1550",23,25,1
"36","CBIS","1500","1720",8,140,1
"37","COGSWL 113","1300","1650",7,18,1
"38","DARRIN 174","1200","1350",8,15,1
"39","DARRIN 174","1400","1550",4,5,1
"40","DARRIN 174","1600","1750",2,5,1
"41","DARRIN 174","1800","1950",2,5,1
"42","DARRIN 232","0700","0950",10,35,1
"43","DARRIN 232","1000","1150",12,30,1
"44","DARRIN 232","1200","1250",93,90,1
"45","DARRIN 232","1300","1350",102,90,1
"46","DARRIN 232","1400","1550",30,35,1
"47","DARRIN 232","1600","1720",3,20,1
"48","DARRIN 235","1000","1150",7,19,1
"49","DARRIN 235","1400","1520",12,60,1
"50","DARRIN 235","1600","1750",19,19,1
"51","DARRIN 236","1000","1150",31,30,1
"52","DARRIN 236","1400","1520",17,30,1
"53","DARRIN 236","1600","1750",10,19,1
"54","DARRIN 239","0800","0950",31,30,1
"55","DARRIN 239","1000","1150",14,60,1
"56","DARRIN 239","1400","1550",27,30,1
"57","DARRIN 239","1600","1750",5,25,1
"58","DARRIN 308","0800","0950",216,288,1
"59","DARRIN 308","1000","1150",189,400,1
"60","DARRIN 308","1200","1350",202,400,1
"61","DARRIN 308","1400","1520",950,952,1
"62","DARRIN 308","1600","1720",482,684,1
"63","DARRIN 308","1800","1950",143,260,1
"64","DARRIN 318","0900","0950",53,80,1
"65","DARRIN 318","1000","1150",222,216,1
"66","DARRIN 318","1200","1350",87,84,1
"67","DARRIN 318","1400","1520",360,360,1
"68","DARRIN 324","1000","1050",278,280,1
"69","DARRIN 324","1100","1150",387,384,1
"70","DARRIN 324","1200","1250",278,280,1
"71","DARRIN 324","1300","1350",60,60,1
"72","DARRIN 324","1400","1550",115,120,1
"73","DARRIN 330","0900","0950",214,240,1
"74","DARRIN 330","1000","1150",65,150,1
"75","DARRIN 330","1200","1350",114,150,1
"76","DARRIN 330","1400","1450",216,240,1
"77","DARRIN 330","1500","1550",226,240,1
"78","DARRIN 330","1600","1650",106,125,1
"79","DARRIN 330","1700","1750",99,120,1
"80","DARRIN 330","1900","2050",95,120,1
"81","DARRIN 337","0900","0950",44,35,1
"82","DARRIN 337","1000","1150",94,110,1
