"","t1000","t1200","t1400","t1600","student"
"1","OTHER","DCC318","DCC308","SAGE2303",1
"2","DCC308","SAGE5101","OTHER","SAGE2303",2
"3","DCC308","OTHER","SAGE2303","DCC318",3
"4","OTHER","DCC308","SAGE5101","SAGE2303",4
"5","DCC318","TROY101","DCC308","OTHER",5
"6","DCC308","SAGE2303","DCC318","SAGE5101",6
"7","DCC318","RCKTTS203","SAGE2303","SAGE5101",7
"8","OTHER","SAGE2303","RCKTTS203","SAGE5101",8
"9","OTHER","DCC308","SAGE5101","LALLY102",9
"10","TROY101","DCC308","RCKTTS203","OTHER",10
"11","OTHER","SAGE5101","RCKTTS203","SAGE2303",11
"12","SAGE5101","DCC308","OTHER","RCKTTS203",12
"13","SAGE5101","DCC308","OTHER","DCC318",13
"14","DCC308","SAGE5101","OTHER","DCC318",14
"15","LALLY102","DCC308","SAGE2303","RCKTTS203",15
"16","OTHER","DCC308","SAGE5101","TROY101",16
"17","SAGE2303","OTHER","DCC308","DCC318",17
"18","DCC308","LALLY102","OTHER","SAGE5101",18
"19","OTHER","DCC308","DCC318","SAGE2303",19
"20","OTHER","SAGE5101","TROY101","DCC308",20
"21","SAGE5101","DCC308","OTHER","DCC318",21
"22","DCC308","OTHER","DCC318","SAGE5101",22
"23","SAGE5101","OTHER","RCKTTS203","TROY101",23
"24","SAGE5101","SAGE2303","TROY101","OTHER",24
"25","OTHER","SAGE5101","DCC308","TROY101",25
"26","DCC318","LALLY102","OTHER","SAGE5101",26
"27","TROY101","OTHER","SAGE2303","DCC318",27
"28","RCKTTS203","SAGE5101","SAGE2303","DCC308",28
"29","DCC318","DCC308","OTHER","SAGE5101",29
"30","DCC318","OTHER","LALLY102","SAGE2303",30
"31","OTHER","DCC308","SAGE2303","LALLY102",31
"32","DCC308","OTHER","SAGE2303","SAGE5101",32
"33","DCC318","SAGE5101","DCC308","OTHER",33
"34","DCC308","DCC318","SAGE2303","SAGE5101",34
"35","TROY101","RCKTTS203","DCC318","OTHER",35
"36","SAGE5101","DCC308","SAGE2303","OTHER",36
"37","DCC318","SAGE2303","RCKTTS203","DCC308",37
"38","DCC308","DCC318","OTHER","SAGE5101",38
"39","SAGE5101","DCC308","OTHER","SAGE2303",39
"40","DCC318","RCKTTS203","DCC308","TROY101",40
"41","DCC318","LALLY102","OTHER","DCC308",41
"42","DCC318","OTHER","SAGE2303","DCC308",42
"43","SAGE5101","SAGE2303","OTHER","RCKTTS203",43
"44","SAGE5101","DCC308","RCKTTS203","OTHER",44
"45","SAGE2303","DCC318","SAGE5101","DCC308",45
"46","OTHER","DCC308","DCC318","TROY101",46
"47","OTHER","SAGE2303","DCC318","SAGE5101",47
"48","DCC308","SAGE5101","DCC318","TROY101",48
"49","DCC308","SAGE5101","OTHER","LALLY102",49
"50","SAGE5101","SAGE2303","RCKTTS203","OTHER",50
"51","SAGE5101","DCC308","TROY101","OTHER",51
"52","DCC318","DCC308","OTHER","SAGE5101",52
"53","SAGE5101","DCC318","TROY101","OTHER",53
"54","DCC318","OTHER","DCC308","SAGE5101",54
"55","OTHER","SAGE2303","TROY101","DCC318",55
"56","DCC318","DCC308","OTHER","SAGE2303",56
"57","OTHER","SAGE5101","SAGE2303","DCC318",57
"58","DCC318","DCC308","OTHER","RCKTTS203",58
"59","DCC318","DCC308","OTHER","SAGE2303",59
"60","SAGE5101","SAGE2303","DCC308","TROY101",60
"61","SAGE5101","OTHER","DCC308","DCC318",61
"62","OTHER","DCC318","SAGE5101","RCKTTS203",62
"63","OTHER","SAGE5101","TROY101","DCC308",63
"64","SAGE2303","DCC308","SAGE5101","OTHER",64
"65","SAGE2303","DCC308","OTHER","DCC318",65
"66","RCKTTS203","OTHER","DCC308","TROY101",66
"67","OTHER","SAGE5101","DCC308","SAGE2303",67
"68","OTHER","SAGE5101","TROY101","RCKTTS203",68
"69","OTHER","TROY101","DCC308","SAGE5101",69
"70","OTHER","SAGE5101","LALLY102","DCC308",70
"71","OTHER","SAGE5101","TROY101","LALLY102",71
"72","OTHER","SAGE5101","DCC308","DCC318",72
"73","DCC308","DCC318","SAGE2303","SAGE5101",73
"74","DCC318","OTHER","SAGE5101","DCC308",74
"75","OTHER","SAGE5101","DCC318","DCC308",75
