PersonID,EventID,Role,RemoteOrLive,ArrivalTime,DepartureTime
Person_729960822,3,Student,Live,800,850
Person_397524382,3,Student,Live,800,850
Person_806900142,3,Student,Live,800,850
Person_379890516,3,Student,Live,800,850
Person_861843422,3,Student,Live,800,850
Person_759052879,3,Student,Live,800,850
Person_927840286,3,Student,Live,800,850
Person_462021733,3,Student,Live,800,850
Person_892734612,3,Student,Live,800,850
Person_646026582,3,Student,Live,800,850
Person_163250492,3,Student,Live,800,850
Person_120778954,3,Student,Live,800,850
Person_621878458,3,Student,Live,800,850
Person_650232307,3,Student,Live,800,850
Person_992987157,3,Student,Live,800,850
Person_375312490,3,Student,Live,800,850
Person_032084829,3,Student,Live,800,850
Person_442164131,3,Student,Live,800,850
Person_670837791,3,Student,Live,800,850
Person_419345248,3,Student,Live,800,850
Person_936951193,3,Student,Live,800,850
Person_372277120,3,Student,Live,800,850
Person_962337174,3,Student,Live,800,850
Person_649799167,3,Student,Live,800,850
Person_342691337,3,Student,Live,800,850
Person_973484621,3,Student,Live,800,850
Person_894811813,3,Student,Live,800,850
Person_131426244,3,Student,Live,800,850
Person_457478705,3,Student,Live,800,850
Person_002296888,3,Student,Live,800,850
Person_733130767,3,Student,Live,800,850
Person_924360893,3,Student,Live,800,850
Person_452238853,3,Student,Live,800,850
Person_625533936,3,Student,Live,800,850
Person_839208876,3,Student,Live,800,850
Person_077756638,3,Student,Live,800,850
Person_664310846,3,Student,Live,800,850
Person_308401347,3,Student,Live,800,850
Person_856628990,3,Student,Live,800,850
Person_979232002,3,Student,Live,800,850
Person_520544692,3,Student,Live,800,850
Person_554089915,3,Student,Live,800,850
Person_425865807,3,Student,Live,800,850
Person_309450749,3,Student,Live,800,850
Person_959446874,3,Student,Live,800,850
Person_034478361,3,Student,Live,800,850
Person_037989011,3,Student,Live,800,850
Person_234328450,3,Student,Live,800,850
Person_353454751,3,Student,Live,800,850
Person_106029273,3,Student,Live,800,850
Person_494600843,3,Student,Live,800,850
Person_754967558,3,Student,Live,800,850
Person_312270151,3,Student,Live,800,850
Person_376907080,3,Student,Live,800,850
Person_190443302,3,Student,Live,800,850
Person_603640175,3,Student,Live,800,850
Person_421592176,3,Student,Live,800,850
Person_969221587,3,Student,Live,800,850
Person_802154865,3,Student,Live,800,850
Person_745646046,3,Student,Live,800,850
Person_145755933,3,Student,Live,800,850
Person_555784628,3,Student,Live,800,850
Person_043211908,3,Student,Live,800,850
Person_133116080,3,Student,Live,800,850
Person_017489430,3,Student,Live,800,850
Person_668654709,3,Student,Live,800,850
Person_251700760,3,Student,Live,800,850
Person_208091277,3,Student,Live,800,850
Person_054779895,3,Student,Live,800,850
Person_280377484,3,Student,Live,800,850
Person_635016286,3,Student,Live,800,850
Person_347841261,3,Student,Live,800,850
Person_486356782,3,Student,Live,800,850
Person_764609194,3,Student,Live,800,850
Person_682144607,3,Student,Live,800,850
Person_005411997,3,Student,Live,800,850
Person_425706975,3,Student,Live,800,850
Person_251561487,3,Student,Live,800,850
Person_480468648,3,Student,Live,800,850
Person_187912786,3,Student,Live,800,850
Person_382864663,3,Student,Live,800,850
Person_348886910,3,Student,Live,800,850
Person_182967290,3,Student,Live,800,850
Person_246953705,3,Student,Live,800,850
Person_755234415,3,Student,Live,800,850
Person_889794128,3,Student,Live,800,850
Person_403704048,3,Student,Live,800,850
Person_029167246,3,Student,Live,800,850
Person_894749503,3,Student,Live,800,850
Person_315549694,3,Student,Live,800,850
Person_172021313,3,Student,Live,800,850
Person_232896559,3,Student,Live,800,850
Person_239948541,3,Student,Live,800,850
Person_841318348,3,Student,Live,800,850
Person_184252980,3,Student,Live,800,850
Person_123879943,3,Student,Live,800,850
Person_053108741,3,Student,Live,800,850
Person_064187585,3,Student,Live,800,850
Person_626341385,3,Student,Live,800,850
Person_617849929,3,Student,Live,800,850
Person_992311571,3,Student,Live,800,850
Person_332440374,3,Student,Live,800,850
Person_152642790,3,Student,Live,800,850
Person_428025913,3,Student,Live,800,850
Person_585523412,3,Student,Live,800,850
Person_651378881,3,Student,Live,800,850
Person_779839682,3,Student,Live,800,850
Person_022943311,3,Student,Live,800,850
Person_963738912,3,Student,Live,800,850
Person_897286313,3,Student,Live,800,850
Person_902217581,3,Student,Live,800,850
Person_449967684,3,Student,Live,800,850
Person_115808564,3,Student,Live,800,850
Person_529068594,3,Student,Live,800,850
Person_559030977,3,Student,Live,800,850
Person_622648025,3,Student,Live,800,850
Person_372337253,3,Student,Live,800,850
Person_381317019,3,Student,Live,800,850
Person_923895019,3,Student,Live,800,850
Person_271887263,3,Student,Live,800,850
Person_026207151,3,Student,Live,800,850
Person_477073441,3,Student,Live,800,850
Person_996006141,3,Student,Live,800,850
