CRN,EventID,Section,Name,DayOfWeek,StartTime,EndTime,SeatsTaken,Seats,LocationID,Building,Type
81215.0,Event_1943344516,01,Air And Space Studies 300 A,1.0,700.0,950.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
85313.0,Event_7152077997,01,Programming For Bme,1.0,1000.0,1150.0,7.0,13.0,Loc_81644,GREENE BUILDING,Class
81136.0,Event_4786369640,01,Introduction To Optimization,1.0,1000.0,1150.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
85230.0,Event_3240167821,01,Sedimentology /Stratigraphy,1.0,1200.0,1350.0,5.0,13.0,Loc_81644,GREENE BUILDING,Class
84417.0,Event_6000328461,03,Architectural Design Studio 7,1.0,1400.0,1750.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
85398.0,Event_0422867199,01,Modern Binary Exploitation,1.0,1400.0,1550.0,6.0,13.0,Loc_81644,GREENE BUILDING,Class
83550.0,Event_5161708894,01,Writing For Games Ii,1.0,1600.0,1750.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
82525.0,Event_2622472375,02,Chemistry I With Advanced Lab,2.0,800.0,920.0,5.0,13.0,Loc_81644,GREENE BUILDING,Class
83050.0,Event_4692024273,04,Chemistry I,2.0,1000.0,1120.0,9.0,13.0,Loc_81644,GREENE BUILDING,Class
81135.0,Event_5012376328,01,Math Models Of Operations,2.0,1000.0,1150.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
85299.0,Event_1507693242,01,Understanding Empathy,2.0,1200.0,1350.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
84412.0,Event_8026731534,01,Cities And Their Territories,2.0,1400.0,1550.0,3.0,13.0,Loc_81644,GREENE BUILDING,Class
81351.0,Event_4518318528,01,Systems Analysis & Design,2.0,1400.0,1550.0,10.0,13.0,Loc_81644,GREENE BUILDING,Class
85397.0,Event_8773204106,09,Rcos   Mentor Meetings,2.0,1800.0,1950.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
84099.0,Event_2117826256,22,Intro Differential Equations,3.0,900.0,950.0,11.0,13.0,Loc_81644,GREENE BUILDING,Class
83250.0,Event_3962018803,05,Computer Science I,3.0,1200.0,1350.0,13.0,13.0,Loc_81644,GREENE BUILDING,Class
83839.0,Event_5040087770,03,Architectural Design Studio 3,3.0,1400.0,1750.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
81045.0,Event_9187459286,23,Computer Science I,3.0,1600.0,1750.0,9.0,13.0,Loc_81644,GREENE BUILDING,Class
85535.0,Event_9719895602,01,Intro To Game Programming,4.0,800.0,950.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
85492.0,Event_2047033634,03,Introduction To Linguistics,4.0,1000.0,1150.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
81363.0,Event_7211363686,02,Physics Ii,4.0,1000.0,1150.0,7.0,13.0,Loc_81644,GREENE BUILDING,Class
84434.0,Event_8569277755,01,Human Perf Modeling & Support,4.0,1200.0,1320.0,3.0,13.0,Loc_81644,GREENE BUILDING,Class
84164.0,Event_0287725810,80,Grad Arch Design 5,4.0,1400.0,1750.0,3.0,13.0,Loc_81644,GREENE BUILDING,Class
83408.0,Event_5307094579,06,Mechanical Systems Lab,4.0,1400.0,1550.0,0.0,13.0,Loc_81644,GREENE BUILDING,Class
82376.0,Event_9970802687,01,Machine Learning From Data,4.0,1600.0,1750.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
85424.0,Event_3960092355,01,Drugs Society & Behavior,4.0,1800.0,1950.0,2.0,13.0,Loc_81644,GREENE BUILDING,Class
84791.0,Event_3582968913,01,Intermediate Drawing,5.0,1000.0,1150.0,5.0,13.0,Loc_81644,GREENE BUILDING,Class
81127.0,Event_8299469681,12,Intro Diff Equations,5.0,1000.0,1120.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
85355.0,Event_0030334831,01,Revolutions In Perspective,5.0,1200.0,1350.0,4.0,13.0,Loc_81644,GREENE BUILDING,Class
84977.0,Event_8355770379,02,Chemical Eng Separations,5.0,1300.0,1350.0,8.0,13.0,Loc_81644,GREENE BUILDING,Class
85703.0,Event_3403367730,01,Introduction To Polymers,5.0,1400.0,1520.0,3.0,13.0,Loc_81644,GREENE BUILDING,Class
81216.0,Event_5790671382,01,Air And Space Studies 400 A,1.0,700.0,950.0,2.0,6.0,Loc_08237,GREENE BUILDING,Class
83633.0,Event_9041802652,01,Modeling Of Biomedical Systems,1.0,1000.0,1150.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
81069.0,Event_3189766066,03,Intro To Management,1.0,1000.0,1150.0,2.0,6.0,Loc_08237,GREENE BUILDING,Class
84975.0,Event_2839910164,02,History And Culture Of Games,1.0,1200.0,1350.0,1.0,6.0,Loc_08237,GREENE BUILDING,Class
84418.0,Event_3009072287,04,Architectural Design Studio 7,1.0,1400.0,1750.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
84109.0,Event_6783745917,03,Chinese I,1.0,1400.0,1550.0,3.0,6.0,Loc_08237,GREENE BUILDING,Class
84116.0,Event_2908347444,14,Computer Science I,1.0,1600.0,1720.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
81348.0,Event_0905324852,01,Modern Techniques In Chemistry,2.0,800.0,1050.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
81578.0,Event_9894691974,06,Chemistry I,2.0,1000.0,1050.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
85431.0,Event_0646172039,01,Data Analytics,2.0,1000.0,1150.0,2.0,6.0,Loc_08237,GREENE BUILDING,Class
85526.0,Event_3446026550,01,"Race, Class, Gender & Tech",2.0,1200.0,1350.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
84842.0,Event_1763626226,80,Materials Systems & Production,2.0,1400.0,1650.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
83433.0,Event_7610402217,02,Strategy And Policy,2.0,1400.0,1550.0,3.0,6.0,Loc_08237,GREENE BUILDING,Class
84137.0,Event_3020393582,23,Intro Differential Equations,3.0,900.0,950.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
82372.0,Event_5367820986,06,Computer Science I,3.0,1200.0,1350.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
83840.0,Event_3652272445,04,Architectural Design Studio 3,3.0,1400.0,1750.0,5.0,6.0,Loc_08237,GREENE BUILDING,Class
81369.0,Event_8380971020,07,Data Structures,3.0,1600.0,1750.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
85536.0,Event_2644285532,02,Intro To Game Programming,4.0,800.0,950.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
85150.0,Event_9226368007,03,Communication Theory & Prac.,4.0,1000.0,1150.0,2.0,6.0,Loc_08237,GREENE BUILDING,Class
84405.0,Event_3057059441,02,Materials Science,4.0,1000.0,1150.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
82523.0,Event_4425438120,02,Multidisciplinary Cap Design,4.0,1200.0,1350.0,5.0,6.0,Loc_08237,GREENE BUILDING,Class
84743.0,Event_8889683911,03,Digital Filmmaking,4.0,1400.0,1550.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
81440.0,Event_5607302138,01,Flight Mechanics,4.0,1400.0,1550.0,3.0,6.0,Loc_08237,GREENE BUILDING,Class
85374.0,Event_2376745665,01,Networking In The Linux Kernel,4.0,1600.0,1750.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
81518.0,Event_2739617025,01,Rensselaer Concert Choir,4.0,1900.0,2030.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
85262.0,Event_1518936506,01,Music And Sound Ii,5.0,1000.0,1150.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
81124.0,Event_9844534940,09,Intro Differential Equations,5.0,1000.0,1120.0,2.0,6.0,Loc_08237,GREENE BUILDING,Class
85299.0,Event_0210359848,01,Understanding Empathy,5.0,1200.0,1350.0,4.0,6.0,Loc_08237,GREENE BUILDING,Class
81033.0,Event_6927600359,04,Embedded Control,5.0,1300.0,1550.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
81236.0,Event_9885344453,08,Physics I,5.0,1400.0,1550.0,6.0,6.0,Loc_08237,GREENE BUILDING,Class
82332.0,Event_3641784369,01,Molecular Biology Ii,1.0,800.0,950.0,12.0,14.0,Loc_41662,WEST HALL,Class
84184.0,Event_6846549722,01,Biomechanics Ii,1.0,1000.0,1150.0,7.0,14.0,Loc_41662,WEST HALL,Class
82495.0,Event_9799752528,02,Intro To Data Mgmt & Analytics,1.0,1000.0,1150.0,3.0,14.0,Loc_41662,WEST HALL,Class
85356.0,Event_4029439788,01,Learning And Advanced Game Ai,1.0,1200.0,1350.0,4.0,14.0,Loc_41662,WEST HALL,Class
84419.0,Event_0856060391,05,Architectural Design Studio 7,1.0,1400.0,1750.0,4.0,14.0,Loc_41662,WEST HALL,Class
84366.0,Event_0213222470,04,Chinese I,1.0,1400.0,1550.0,3.0,14.0,Loc_41662,WEST HALL,Class
81046.0,Event_3182769322,15,Computer Science I,1.0,1600.0,1720.0,10.0,14.0,Loc_41662,WEST HALL,Class
81093.0,Event_1686891012,01,Steel Design,2.0,800.0,950.0,4.0,14.0,Loc_41662,WEST HALL,Class
81577.0,Event_2841782774,10,Chemistry I,2.0,1000.0,1120.0,13.0,14.0,Loc_41662,WEST HALL,Class
81068.0,Event_1248610944,01,Intro To Management,2.0,1000.0,1150.0,5.0,14.0,Loc_41662,WEST HALL,Class
85716.0,Event_5343943845,01,Research Methods,2.0,1200.0,1450.0,1.0,14.0,Loc_41662,WEST HALL,Class
84853.0,Event_4819753274,80,Material Systems & Productions,2.0,1400.0,1650.0,5.0,14.0,Loc_41662,WEST HALL,Class
82025.0,Event_4105224534,01,Talent Management,2.0,1400.0,1650.0,3.0,14.0,Loc_41662,WEST HALL,Class
85226.0,Event_2169613840,01,Marketing High   Tech Prod,2.0,1800.0,2050.0,7.0,14.0,Loc_41662,WEST HALL,Class
84138.0,Event_3399404115,24,Intro Differential Equations,3.0,900.0,950.0,9.0,14.0,Loc_41662,WEST HALL,Class
84116.0,Event_6632165306,14,Computer Science I,3.0,1200.0,1350.0,6.0,14.0,Loc_41662,WEST HALL,Class
83894.0,Event_0699678945,05,Architectural Design Studio 3,3.0,1400.0,1750.0,2.0,14.0,Loc_41662,WEST HALL,Class
84118.0,Event_5956981033,09,Data Structures,3.0,1600.0,1750.0,12.0,14.0,Loc_41662,WEST HALL,Class
85513.0,Event_0853159048,01,The Art Of Listening,4.0,800.0,950.0,2.0,14.0,Loc_41662,WEST HALL,Class
85151.0,Event_1946993786,04,Communication Theory & Prac.,4.0,1000.0,1150.0,3.0,14.0,Loc_41662,WEST HALL,Class
84222.0,Event_5477669723,10,Physics Mentoring For Freshmen,4.0,1000.0,1050.0,3.0,14.0,Loc_41662,WEST HALL,Class
82565.0,Event_3965772425,01,Intro To It & Web Science,4.0,1200.0,1350.0,10.0,14.0,Loc_41662,WEST HALL,Class
84744.0,Event_7271542491,04,Digital Filmmaking,4.0,1400.0,1550.0,4.0,14.0,Loc_41662,WEST HALL,Class
85277.0,Event_5833869920,03,Intro To Finite Elements,4.0,1400.0,1550.0,5.0,14.0,Loc_41662,WEST HALL,Class
