LocationID,Name,Building,Room,FullCapacity,ReducedCapacity,Latitude,Longitude
Loc_81644,GREENE 204,GREENE BUILDING,204,20,13,42.7298,73.6789
Loc_08237,GREENE 302,GREENE BUILDING,302,2,6,42.7298,73.6789
Loc_41662,WEST 112,WEST HALL,112,24,14,42.7298,73.6789
Loc_54058,PEOPLES 4204,PEOPLES AVE COMPLEX J,4204,16,6,42.7298,73.6789
Loc_43449,PEOPLES 4208,PEOPLES AVE COMPLEX J,4208,16,6,42.7298,73.6789
Loc_89004,RICKETTS 207,RICKETTS BUILDING,207,8,9,42.7298,73.6789
Loc_01872,WALKER 3221,WALKER LABORATORY,3221,16,8,42.7298,73.6789
Loc_05246,WALKER 3222,WALKER LABORATORY,3222,20,10,42.7298,73.6789
Loc_02540,AE 217,AMOS EATON HALL,217,40,20,42.7298,73.6789
Loc_10963,JEC 3232,JONSSON ENGINEERING CENTER,3232,36,12,42.7298,73.6789
Loc_82784,JEC 3332,JONSSON ENGINEERING CENTER,3332,36,12,42.7298,73.6789
Loc_08485,JEC 4201,JONSSON ENGINEERING CENTER,4201,64,16,42.7298,73.6789
Loc_07551,JEC 4304,JONSSON ENGINEERING CENTER,4304,36,18,42.7298,73.6789
Loc_74281,JRSC 3W13,JONSSON-ROWLAND SCIENCE CENTER,3W13,24,12,42.7298,73.6789
Loc_47330,JEC 4107,JONSSON ENGINEERING CENTER,4107,60,21,42.7298,73.6789
Loc_97520,JEC 6309,JONSSON ENGINEERING CENTER,6309,50,18,42.7298,73.6789
Loc_20656,JEC 6314,JONSSON ENGINEERING CENTER,6314,30,12,42.7298,73.6789
Loc_73342,NUCLEAR 106,NUCLEAR ENG. AND SCI. BLDG,106,78,17,42.7298,73.6789
Loc_37758,DCC 240,DARRIN COMMUNICATIONS CENTER,240,25,12,42.7298,73.6789
Loc_70313,PEOPLES 4407,PEOPLES AVE COMPLEX J,4407,4,8,42.7298,73.6789
Loc_09828,ACADMY 3500,ACADEMY HALL,3500,126,42,42.7298,73.6789
Loc_48830,AE 214,AMOS EATON HALL,214,163,31,42.7298,73.6789
Loc_99219,AE 215,AMOS EATON HALL,215,50,25,42.7298,73.6789
Loc_36356,AE 216,AMOS EATON HALL,216,40,20,42.7298,73.6789
Loc_50670,CARNEGIE 101,CARNEGIE BUILDING,101,39,14,42.7298,73.6789
Loc_37931,CARNEGIE 102,CARNEGIE BUILDING,102,20,13,42.7298,73.6789
Loc_96288,CARNEGIE 106,CARNEGIE BUILDING,106,41,17,42.7298,73.6789
Loc_73148,CARNEGIE 113,CARNEGIE BUILDING,113,92,32,42.7298,73.6789
Loc_47947,CARNEGIE 201,CARNEGIE BUILDING,201,48,23,42.7298,73.6789
Loc_99388,CARNEGIE 205,CARNEGIE BUILDING,205,26,11,42.7298,73.6789
Loc_96326,CARNEGIE 206,CARNEGIE BUILDING,206,35,16,42.7298,73.6789
Loc_28641,CARNEGIE 208,CARNEGIE BUILDING,208,37,14,42.7298,73.6789
Loc_58631,CARNEGIE 210,CARNEGIE BUILDING,210,35,14,42.7298,73.6789
Loc_50116,DCC 232,DARRIN COMMUNICATIONS CENTER,232,30,13,42.7298,73.6789
Loc_99922,DCC 235,DARRIN COMMUNICATIONS CENTER,235,32,14,42.7298,73.6789
Loc_61125,DCC 236,DARRIN COMMUNICATIONS CENTER,236,30,13,42.7298,73.6789
Loc_48311,DCC 239,DARRIN COMMUNICATIONS CENTER,239,30,14,42.7298,73.6789
Loc_63229,DCC 308,DARRIN COMMUNICATIONS CENTER,308,508,88,42.7298,73.6789
Loc_02209,DCC 318,DARRIN COMMUNICATIONS CENTER,318,235,40,42.7298,73.6789
Loc_55262,DCC 324,DARRIN COMMUNICATIONS CENTER,324,170,33,42.7298,73.6789
Loc_32427,DCC 330,DARRIN COMMUNICATIONS CENTER,330,153,27,42.7298,73.6789
Loc_33156,DCC 337,DARRIN COMMUNICATIONS CENTER,337,116,27,42.7298,73.6789
Loc_70226,GREENE 120,GREENE BUILDING,120,60,24,42.7298,73.6789
Loc_16016,JEC 3207,JONSSON ENGINEERING CENTER,3207,30,15,42.7298,73.6789
Loc_42755,JEC 3210,JONSSON ENGINEERING CENTER,3210,50,24,42.7298,73.6789
Loc_07590,JEC 4309,JONSSON ENGINEERING CENTER,4309,36,18,42.7298,73.6789
Loc_09497,JEC 5119,JONSSON ENGINEERING CENTER,5119,50,18,42.7298,73.6789
Loc_50253,JRSC 1W01,JONSSON-ROWLAND SCIENCE CENTER,1W01,20,10,42.7298,73.6789
Loc_69616,JRSC 2C06,JONSSON-ROWLAND SCIENCE CENTER,2C06,48,24,42.7298,73.6789
Loc_33431,JRSC 2C13,JONSSON-ROWLAND SCIENCE CENTER,2C13,30,20,42.7298,73.6789
Loc_08921,JRSC 2C14,JONSSON-ROWLAND SCIENCE CENTER,2C14,48,24,42.7298,73.6789
Loc_92752,JRSC 2C22,JONSSON-ROWLAND SCIENCE CENTER,2C22,48,24,42.7298,73.6789
Loc_34349,JRSC 2C25,JONSSON-ROWLAND SCIENCE CENTER,2C25,30,20,42.7298,73.6789
Loc_45399,JRSC 2C30,JONSSON-ROWLAND SCIENCE CENTER,2C30,48,24,42.7298,73.6789
Loc_65904,LALLY 2,LALLY HALL,2,29,14,42.7298,73.6789
Loc_39304,LALLY 102,LALLY HALL,102,60,12,42.7298,73.6789
Loc_39152,LALLY 104,LALLY HALL,104,50,34,42.7298,73.6789
Loc_80006,LOW 3039,LOW CENTER FOR INDUSTRIAL INNOVATION,3039,45,19,42.7298,73.6789
Loc_36499,LOW 3045,LOW CENTER FOR INDUSTRIAL INNOVATION,3045,40,19,42.7298,73.6789
Loc_46232,LOW 3051,LOW CENTER FOR INDUSTRIAL INNOVATION,3051,70,18,42.7298,73.6789
Loc_05023,LOW 3112,LOW CENTER FOR INDUSTRIAL INNOVATION,3112,30,14,42.7298,73.6789
Loc_70439,LOW 3116,LOW CENTER FOR INDUSTRIAL INNOVATION,3116,30,13,42.7298,73.6789
Loc_94876,LOW 3130,LOW CENTER FOR INDUSTRIAL INNOVATION,3130,30,14,42.7298,73.6789
Loc_55598,LOW 4034,LOW CENTER FOR INDUSTRIAL INNOVATION,4034,32,15,42.7298,73.6789
Loc_37385,LOW 4040,LOW CENTER FOR INDUSTRIAL INNOVATION,4040,32,15,42.7298,73.6789
Loc_77379,LOW 4050,LOW CENTER FOR INDUSTRIAL INNOVATION,4050,120,30,42.7298,73.6789
Loc_21137,MRC 136,MATERIALS RESEARCH CENTER,136,28,14,42.7298,73.6789
Loc_17150,NASON 130,NASON HALL,130,30,15,42.7298,73.6789
Loc_23498,PITTS 4114,PITTSBURGH BUILDING,4114,56,28,42.7298,73.6789
Loc_15468,PITTS 4206,PITTSBURGH BUILDING,4206,52,26,42.7298,73.6789
Loc_31571,PITTS 5114,PITTSBURGH BUILDING,5114,36,15,42.7298,73.6789
Loc_41555,PITTS 5216,PITTSBURGH BUILDING,5216,56,28,42.7298,73.6789
Loc_68152,RICKETTS 203,RICKETTS BUILDING,203,164,21,42.7298,73.6789
Loc_37946,RICKETTS 208,RICKETTS BUILDING,208,20,11,42.7298,73.6789
Loc_35147,RICKETTS 211,RICKETTS BUILDING,211,75,18,42.7298,73.6789
Loc_73083,RICKETTS 212,RICKETTS BUILDING,212,35,18,42.7298,73.6789
Loc_76393,SAGE 2112,RUSSELL SAGE LABORATORY,2112,29,14,42.7298,73.6789
Loc_55979,SAGE 2701,RUSSELL SAGE LABORATORY,2701,26,9,42.7298,73.6789
Loc_98508,SAGE 2704,RUSSELL SAGE LABORATORY,2704,33,12,42.7298,73.6789
Loc_98710,SAGE 2707,RUSSELL SAGE LABORATORY,2707,28,16,42.7298,73.6789
Loc_00549,SAGE 2715,RUSSELL SAGE LABORATORY,2715,30,20,42.7298,73.6789
Loc_39121,SAGE 3101,RUSSELL SAGE LABORATORY,3101,60,20,42.7298,73.6789
Loc_46585,SAGE 3303,RUSSELL SAGE LABORATORY,3303,300,51,42.7298,73.6789
Loc_84894,SAGE 3510,RUSSELL SAGE LABORATORY,3510,180,30,42.7298,73.6789
Loc_58029,SAGE 3704,RUSSELL SAGE LABORATORY,3704,40,12,42.7298,73.6789
