student_id,week_start,monday_1_entry,monday_1,monday_1_exit,monday_2_entry,monday_2,monday_2_exit,monday_3_entry,monday_3,monday_3_exit,monday_4_entry,monday_4,monday_4_exit,monday_5_entry,monday_5,monday_5_exit,monday_end,tuesday_1_entry,tuesday_1,tuesday_1_exit,tuesday_2_entry,tuesday_2,tuesday_2_exit,tuesday_3_entry,tuesday_3,tuesday_3_exit,tuesday_4_entry,tuesday_4,tuesday_4_exit,tuesday_5_entry,tuesday_5,tuesday_5_exit,tuesday_end,wednesday_1_entry,wednesday_1,wednesday_1_exit,wednesday_2_entry,wednesday_2,wednesday_2_exit,wednesday_3_entry,wednesday_3,wednesday_3_exit,wednesday_4_entry,wednesday_4,wednesday_4_exit,wednesday_5_entry,wednesday_5,wednesday_5_exit,wednesday_end,thursday_1_entry,thursday_1,thursday_1_exit,thursday_2_entry,thursday_2,thursday_2_exit,thursday_3_entry,thursday_3,thursday_3_exit,thursday_4_entry,thursday_4,thursday_4_exit,thursday_5_entry,thursday_5,thursday_5_exit,thursday_end,friday_1_entry,friday_1,friday_1_exit,friday_2_entry,friday_2,friday_2_exit,friday_3_entry,friday_3,friday_3_exit,friday_4_entry,friday_4,friday_4_exit,friday_5_entry,friday_5,friday_5_exit,week_end
Person_729960822,153,NA,3,NA,NA,4,NA,NA,10,NA,NA,18,NA,Event_8683731,Event_2679486186,Event_0452098,154,Event_9771338,Event_5840219088,Event_4553144,Event_4786226,Event_5248363985,Event_5105002,NA,Event_70892,NA,Event_6565454,Event_4518318528,Event_0109368,NA,55,NA,168,NA,61,NA,NA,68,NA,NA,73,NA,NA,77,NA,Event_0366551,Event_4766073118,Event_2580404,182,NA,94,NA,NA,97,NA,NA,101,NA,NA,106,NA,Event_3582844,Event_5340927500,Event_7131759,196,Event_2824754,Event_5528747516,Event_7033897,Event_5774716,Event_9091810987,Event_6663553,NA,138,NA,Event_7294418,Event_0612317893,Event_3556068,NA,149,NA,210
Person_890908145,157,NA,2,NA,NA,9,NA,Event_0249277,Event_7543626146,Event_5105002,Event_4478097,Event_2427692449,Event_1787682,NA,22,NA,158,Event_5889306,Event_5698818669,Event_4306593,Event_7033897,Event_9006863582,Event_8639659,NA,56,NA,NA,60,NA,Event_7124779,Event_4840477152,Event_1331630,172,NA,65,NA,Event_8283330,Event_7800765530,Event_9387219,NA,74,NA,NA,80,NA,NA,84,NA,186,NA,91,NA,NA,94,NA,NA,Event_10989,NA,Event_2466970,Event_0407312959,Event_6533657,Event_7555772,Event_9989565692,Event_9277210,200,NA,123,NA,Event_7543701,Event_6930235359,Event_4202693,NA,137,NA,NA,140,NA,NA,144,NA,214
Person_332261652,155,NA,Event_69122,NA,NA,6,NA,Event_4553144,Event_2526613808,Event_2105760,Event_2105760,Event_4080050895,Event_3806475,Event_5813805,Event_0155807790,Event_0242584,156,NA,33,NA,NA,40,NA,Event_1878648,Event_2390925358,Event_9277210,NA,55,NA,Event_9269172,Event_8379008184,Event_6512065,170,Event_0915018,Event_7821303856,Event_9705386,NA,67,NA,Event_6663553,Event_2035292612,Event_3725253,NA,86,NA,NA,89,NA,184,NA,91,NA,Event_1686614,Event_8811325199,Event_6533657,Event_5105002,Event_0674886887,Event_0170969,Event_8252526,Event_3427026387,Event_2711075,NA,115,NA,198,NA,126,NA,NA,129,NA,NA,130,NA,Event_1878648,Event_9517533515,Event_4423353,NA,139,NA,212
Person_076194812,157,NA,Event_69122,NA,NA,10,NA,Event_4202693,Event_6157185134,Event_0282006,NA,21,NA,Event_3412038,Event_2040511981,Event_3516535,158,NA,32,NA,Event_4872607,Event_5991772898,Event_0133943,Event_1795146,Event_0813066148,Event_0255533,NA,49,NA,NA,58,NA,172,NA,63,NA,NA,69,NA,NA,76,NA,NA,84,NA,NA,88,NA,186,NA,93,NA,NA,96,NA,Event_0751027,Event_1344186343,Event_5813805,NA,110,NA,Event_5880216,Event_2720519989,Event_7554508,200,NA,122,NA,Event_3349069,Event_7253011478,Event_7985829,Event_1795146,Event_6253430186,Event_0255533,NA,139,NA,NA,150,NA,214
Person_135788187,157,NA,6,NA,Event_5671531,Event_7527081792,Event_6842677,Event_8639659,Event_2219351269,Event_8252526,NA,Event_48018,NA,NA,22,NA,158,NA,31,NA,Event_6847067,Event_6488135482,Event_8639659,Event_6825128,Event_1059206092,Event_3871731,NA,55,NA,NA,60,NA,172,NA,61,NA,Event_2672287,Event_3998547590,Event_8625106,NA,84,NA,NA,87,NA,NA,89,NA,186,NA,93,NA,Event_4872607,Event_0032087071,Event_0133943,Event_0769366,Event_6132543232,Event_5812832,NA,111,NA,NA,116,NA,200,NA,122,NA,NA,141,NA,NA,144,NA,NA,146,NA,NA,150,NA,214
Person_397524382,163,NA,3,NA,Event_5774716,Event_7409668333,Event_6663553,Event_2105760,Event_8125704852,Event_3806475,NA,16,NA,Event_4242692,Event_6498215304,Event_4779719,164,NA,39,NA,Event_1795146,Event_6800496472,Event_9277210,Event_7737766,Event_3038690183,Event_9517931,NA,55,NA,NA,Event_9148815385,NA,178,NA,61,NA,NA,68,NA,NA,Event_40074,NA,NA,85,NA,NA,90,NA,192,Event_8085880,Event_5060389473,Event_3170946,NA,94,NA,Event_4872607,Event_7215522684,Event_0133943,Event_6663553,Event_8818097549,Event_8683731,NA,117,NA,206,NA,128,NA,NA,131,NA,Event_1795146,Event_4442889346,Event_4423353,Event_7737766,Event_0052615140,Event_9517931,NA,148,NA,220
Person_890643970,151,Event_1179474,Event_0012381028,Event_5774716,NA,7,NA,NA,10,NA,NA,16,NA,Event_5813805,Event_0155807790,Event_0242584,152,Event_8375908,Event_6027955587,Event_3349069,NA,Event_20941,NA,Event_8639659,Event_0502171902,Event_8252526,NA,50,NA,NA,53,NA,166,NA,63,NA,Event_6888197,Event_3597509858,Event_1196842,NA,69,NA,NA,73,NA,NA,88,NA,180,Event_2682269,Event_7225382698,Event_1085382,NA,100,NA,NA,107,NA,Event_8252526,Event_3427026387,Event_2711075,NA,119,NA,194,Event_3689147,Event_7489430820,Event_4169224,Event_8639659,Event_4878551509,Event_8252526,NA,140,NA,NA,145,NA,NA,149,NA,208
Person_194404925,155,NA,1,NA,NA,7,NA,Event_0170969,Event_1720310707,Event_1816413,Event_2164736,Event_8837262584,Event_7402027,NA,30,NA,156,NA,35,NA,Event_1085382,Event_7337707130,Event_4817868,Event_0769366,Event_2361335213,Event_5812832,NA,52,NA,NA,56,NA,170,NA,63,NA,NA,66,NA,Event_0666523,Event_1199828542,Event_2340000,Event_4823941,Event_0247178070,Event_1534435,Event_3380519,Event_0701025440,Event_0452098,184,NA,94,NA,NA,97,NA,NA,Event_47731,NA,NA,109,NA,Event_2115962,Event_6568303728,Event_0833106,198,Event_1962315,Event_6577645242,Event_8567456,Event_1042535,Event_9844534940,Event_8825687,Event_8639659,Event_2460961581,Event_8252526,NA,143,NA,NA,145,NA,212
Person_500768206,153,Event_2824754,Event_0354657868,Event_7033897,NA,Event_70366,NA,Event_8639659,Event_4567543822,Event_8252526,Event_3994645,Event_4106891697,Event_2580404,Event_4754738,Event_7382097159,Event_3105140,154,NA,32,NA,Event_4872607,Event_7089350324,Event_9524471,NA,47,NA,NA,57,NA,NA,59,NA,168,Event_9611573,Event_1146895090,Event_4202693,NA,73,NA,Event_8683731,Event_6356782385,Event_2847241,NA,85,NA,NA,89,NA,182,Event_7381699,Event_0381158563,Event_4786226,NA,101,NA,Event_0769366,Event_5834720764,Event_5812832,Event_0660138,Event_8599775935,Event_4236500,Event_7599275,Event_6922306993,Event_6420193,196,NA,123,NA,NA,125,NA,Event_5774716,Event_1172611111,Event_8480746,NA,142,NA,NA,149,NA,210
Person_432717524,157,Event_1962315,Event_6381496413,Event_4786226,NA,10,NA,Event_7679381,Event_1339279578,Event_6131566,NA,21,NA,NA,28,NA,158,NA,36,NA,Event_4553144,Event_8850310193,Event_2105760,NA,46,NA,NA,53,NA,Event_2164736,Event_7544640548,Event_7096402,172,NA,63,NA,NA,68,NA,NA,76,NA,NA,81,NA,NA,82,NA,186,Event_1179474,Event_2844684917,Event_5774716,NA,101,NA,Event_8639659,Event_1181527177,Event_8252526,NA,109,NA,NA,120,NA,200,Event_7033897,Event_6304229151,Event_8639659,NA,135,NA,NA,138,NA,NA,Event_57049,NA,Event_3994645,Event_4463308967,Event_2580404,214
