crn,subject,courseno,name,section,seats_taken,seats,weekly_position,location,start,end,day
81273,ADMN,1010,Eff Comm For Class Pedagogy,01,0,0,0,SAGE 3205,1400,1550,1
81273,ADMN,1010,Eff Comm For Class Pedagogy,01,0,0,1,SAGE 3205,1400,1550,4
85069,ADMN,1010,Eff Comm For Class Pedagogy,02,0,0,0,SAGE 3205,0800,0950,3
85069,ADMN,1010,Eff Comm For Class Pedagogy,02,0,0,1,SAGE 3205,0800,0950,5
85107,ADMN,1824,Student Success Labs,01,86,130,0,ACADMY AUD,1600,1650,2
82062,ADMN,1961,First Year Seminar,01,9,50,0,SAGE 3705,1600,1650,3
85053,ADMN,1961,First Year Seminar,02,8,6,0,SAGE 4203,1300,1350,3
83577,ARCH,2150,The Ethos Of Architecture,01,91,92,0,CARNEG 113,1000,1120,1
83577,ARCH,2150,The Ethos Of Architecture,01,91,92,1,CARNEG 113,1000,1120,4
83578,ARCH,2160,Architectural Media,01,86,90,0,RCKTTS 203,1200,1350,4
81404,ARCH,2330,Structures 1,01,66,75,0,SAGE 5101,1000,1130,2
81404,ARCH,2330,Structures 1,01,66,75,1,SAGE 5101,1000,1130,5
82029,ARCH,2350,Construction Systems,01,70,75,0,CARNEG 113,1200,1350,3
83579,ARCH,2510,Materials And Design,01,83,90,0,CARNEG 113,1000,1150,3
83636,ARCH,2520,Digital Constructs I,01,81,85,0,SAGE 5101,** TBA **,** TBA **,3
83836,ARCH,2540,Digital Constructs 3,01,65,80,0,SAGE 4101,** TBA **,** TBA **,3
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,0,GREENE STU,1400,1750,1
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,1,GREENE STU,1400,1750,3
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,2,GREENE STU,1400,1750,4
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,0,GREENE STU,1400,1750,1
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,1,GREENE STU,1400,1750,3
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,2,GREENE STU,1400,1750,4
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,0,GREENE STU,1400,1750,1
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,1,GREENE STU,1400,1750,3
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,2,GREENE STU,1400,1750,4
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,0,GREENE STU,1400,1750,1
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,1,GREENE STU,1400,1750,3
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,2,GREENE STU,1400,1750,4
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,0,GREENE STU,1400,1750,1
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,1,GREENE STU,1400,1750,3
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,2,GREENE STU,1400,1750,4
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,0,GREENE STU,1400,1750,1
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,1,GREENE STU,1400,1750,3
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,2,GREENE STU,1400,1750,4
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,0,GREENE STU,1400,1750,1
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,1,GREENE STU,1400,1750,3
83608,ARCH,2800,Architectural Design Studio 1,01,15,80,2,GREENE STU,1400,1750,4
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,0,GREENE STU,1400,1750,1
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,1,GREENE STU,1400,1750,3
83655,ARCH,2800,Architectural Design Studio 1,02,15,16,2,GREENE STU,1400,1750,4
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,0,GREENE STU,1400,1750,1
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,1,GREENE STU,1400,1750,3
83656,ARCH,2800,Architectural Design Studio 1,03,14,16,2,GREENE STU,1400,1750,4
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,0,GREENE STU,1400,1750,1
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,1,GREENE STU,1400,1750,3
83658,ARCH,2800,Architectural Design Studio 1,05,16,16,2,GREENE STU,1400,1750,4
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,0,GREENE STU,1400,1750,1
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,1,GREENE STU,1400,1750,3
84207,ARCH,2800,Architectural Design Studio 1,06,2,8,2,GREENE STU,1400,1750,4
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,0,GREENE STU,1400,1750,1
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,1,GREENE STU,1400,1750,3
85554,ARCH,2800,Architectural Design Studio 1,07,15,16,2,GREENE STU,1400,1750,4
83837,ARCH,2820,Architectural Design Studio 3,01,12,75,0,GREENE STU,1400,1750,1
83837,ARCH,2820,Architectural Design Studio 3,01,12,75,1,GREENE STU,1400,1750,3
83837,ARCH,2820,Architectural Design Studio 3,01,12,75,2,GREENE STU,1400,1750,4
83838,ARCH,2820,Architectural Design Studio 3,02,13,14,0,GREENE STU,1400,1750,1
83838,ARCH,2820,Architectural Design Studio 3,02,13,14,1,GREENE STU,1400,1750,3
